"mlid","tid","vid"
"tid","title"
"66","Японская гравюра"
"67","Европейская гравюра XV-XVII"
"68","Модерн"
"63","Allaert Claesz"
"69","Nikolaus Stör"
"73","иллюстрация"
"74","Джон Тенниел"
"75","плакатная графика"
"82","Стейнлен, Теофиль-Александр"
"8","Хьюго Симберг"
"83","Библия Мациевского"
"84","Русская миниатюра"
"85","карикатура"
"86","Манесский кодекс"
"10","Michael Cheval (Михаил Хохлачев)"
"144","Гравюра XVIII-XIX"
"145","Густав Доре"
"147","Ян ван Эйк"
"150","Жан Гранвиль"
"151","Лукас Кранах Старший"
"145","1","Густав Доре","biopic.jpg","0"
"146","1","Ганс Гольбейн Младший","p003.jpg
","10"
"161","1","Братья Лимбурги","06_june.jpg","0"
"148","1","Пляска Смерти",,"0"
"154","1","Лукас Кранах  Младший","220px-lucas_cranach_der_jungere.jpg","1"
"155","1","художники 18-19 веков","cleopatra_1888.jpg","2"
"156","1","Лабурер Жан-Эмиль","jean-emile_laboureur_self.jpg","3"
"157","1","Хроники Жана Фруассара","fruassar_j.-p001..jpg","2"
"160","1","Миниатюры из \"Бабур-наме\"","babur_namah.jpg","1"
"152","1","Уильям Хогарт","william_hogarth_006.jpg","1"
"153","1","художники 16-17 веков","margarita_elizaveta_fon_ansbah-bayroyt_1549.jpg","1"
"150","1","Жан Гранвиль","grandville_jj_selfportrait_02.gif","0"
"149","5","портрет",,"4"
"147","1","Ян ван Эйк","portrait-of-jan-van-eyck-by-lampsonius.jpg","0"
"162","5","шелкография",,"3"
"163","5","сюжет",,"30"
"164","5","Столетняя война",,"5"
"240","5","цветная гравюра",,"0"
"238","5","1583",,"2"
"167","5","Куликовская битва",,"2"
"168","5","Реформация",,"4"
"169","5","Первая мировая война",,"3"
"170","5","офорт",,"5"
"171","1","Жак Калло","jacobus_callot_after_a._van_dyck.jpg","13"
"172","5","маньеризм","https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BD%D1%8C%D0%B5%D1%80%D0%B8%D0%B7%D0%BC","6"
"173","5","хромолитография",,"2"
"182","5","политическая карикатура",,"0"
"176","5","шарж",,"12"
"177","5","христианские сюжеты",,"1"
"179","5","рококо","https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%BA%D0%BE%D0%BA%D0%BE","4"
"178","5","гротеск",,"2"
"180","1","Иоганн Исайя Нильсон","cartouches_modernes_a_compagnes_par_des_enfans.jpeg","0"
"183","5","классицизм",,"3"
"184","5","изображение",,"16"
"185","5","zoom",,"0"
"186","5","формат",,"1"
"187","5","календарь",,"13"
"188","5","страна",,"19"
"189","5","Россия",,"7"
"190","5","Германия",,"4"
"191","5","Франция",,"8"
"192","5","Италия",,"5"
"193","5","Англия",,"0"
"194","5","Япония",,"9"
"195","5","Китай",,"6"
"196","5","пейзаж",,"3"
"197","5","готика",,"2"
"198","1","Ганс Гольбейн Младший, живопись",,"0"
"200","5","дата завершения",,"76"
"201","5","1883",,"12"
"202","5","1914",,"22"
"203","5","1815",,"10"
"204","5","1634",,"6"
"205","5","1626",,"5"
"206","5","Нидерланды",,"3"
"207","5","1991",,"34"
"208","5","авангард",,"0"
"209","5","1963",,"30"
"210","5","Швеция",,"2"
"211","5","1890",,"15"
"212","5","1551",,"4"
"213","5","1935",,"27"
"214","5","1919",,"23"
"215","5","1955",,"29"
"217","5","1924",,"25"
"218","5","1950",,"28"
"221","5","1998",,"36"
"222","5","2004",,"37"
"223","5","1994",,"35"
"225","5","1974",,"32"
"227","5","1896",,"16"
"228","5","1904",,"17"
"229","5","1909",,"19"
"230","5","1910",,"20"
"232","5","1475",,"0"
"233","5","1723",,"7"
"234","5","1741",,"8"
"235","5","1926",,"26"
"236","5","1908",,"18"
"237","5","1920",,"24"
"239","5","1587",,"3"
"241","5","1766",,"9"
"242","5","1844",,"11"
"243","5","1934",,"1"
"244","5","1888",,"14"
"245","5","1887",,"13"
"246","5","историческая живопись",,"0"
"247","5","1882",,"0"
"tid","parent"
"2","68"
"4","73"
"5","68"
"6","68"
"7","155"
"8","138"
"10","138"
"11","133"
"14","138"
"17","68"
"19","66"
"20","73"
"21","73"
"22","67"
"23","67"
"24","67"
"58","67"
"59","67"
"60","67"
"61","67"
"63","67"
"64","67"
"65","67"
"66","139"
"67","139"
"68","0"
"69","67"
"72","0"
"73","0"
"74","73"
"75","0"
"77","75"
"78","75"
"80","73"
"82","75"
"83","72"
"84","72"
"85","0"
"86","72"
"88","153"
"89","75"
"90","75"
"91","75"
"94","0"
"95","0"
"96","0"
"97","96"
"98","97"
"99","97"
"100","95"
"101","95"
"102","95"
"103","97"
"104","95"
"105","94"
"106","96"
"107","94"
"108","94"
"109","94"
"110","94"
"111","95"
"112","96"
"113","95"
"114","95"
"115","94"
"116","94"
"117","73"
"119","94"
"120","94"
"121","94"
"122","112"
"123","112"
"124","94"
"125","94"
"126","94"
"128","94"
"129","94"
"130","94"
"131","94"
"132","95"
"133","0"
"136","133"
"137","94"
"138","0"
"139","0"
"140","94"
"141","133"
"142","94"
"143","133"
"144","139"
"145","144"
"146","67"
"147","14"
"148","146"
"149","95"
"150","73"
"151","67"
"152","144"
"153","138"
"154","153"
"155","138"
"156","139"
"157","72"
"158","0"
"160","72"
"161","72"
"162","97"
"163","0"
"164","163"
"167","163"
"168","163"
"169","163"
"170","97"
"171","67"
"172","94"
"173","97"
"176","95"
"177","163"
"178","95"
"179","94"
"180","144"
"182","104"
"183","94"
"184","0"
"185","184"
"186","184"
"187","95"
"188","0"
"189","188"
"190","188"
"191","188"
"192","188"
"193","188"
"194","188"
"195","188"
"196","95"
"197","94"
"198","153"
"200","0"
"201","200"
"202","200"
"203","200"
"204","200"
"205","200"
"206","188"
"207","200"
"208","94"
"209","200"
"210","188"
"211","200"
"212","200"
"213","200"
"214","200"
"215","200"
"216","200"
"217","200"
"218","200"
"219","188"
"220","200"
"221","200"
"222","200"
"223","200"
"224","200"
"225","200"
"226","95"
"227","200"
"228","200"
"229","200"
"230","200"
"231","75"
"232","200"
"233","200"
"234","200"
"235","200"
"236","200"
"237","200"
"238","200"
"239","200"
"240","97"
"241","200"
"242","200"
"243","200"
"244","200"
"245","200"
"246","163"
"247","200"
"tid","path"
"136","kagaya_portret_2.jpg"
"nid","vid","tid"
"1","1","206"
"1","1","125"
"1","1","214"
"1","1","106"
"5","5","132"
"5","5","206"
"7","7","2"
"8","8","2"
"9","9","189"
"387","387","150"
"11","11","6"
"12","12","6"
"14","14","7"
"13","13","7"
"15","15","8"
"16","16","8"
"17","17","8"
"18","18","8"
"19","19","8"
"20","20","129"
"21","21","10"
"22","22","11"
"23","23","11"
"24","24","130"
"25","25","130"
"26","26","217"
"27","27","110"
"28","28","110"
"29","29","14"
"365","365","66"
"31","31","112"
"32","32","10"
"33","33","10"
"34","34","10"
"35","35","10"
"36","36","10"
"37","37","10"
"38","38","10"
"39","39","10"
"40","40","10"
"41","41","10"
"42","42","10"
"43","43","10"
"44","44","10"
"45","45","132"
"46","46","132"
"47","47","132"
"48","48","132"
"49","49","219"
"50","50","132"
"51","51","5"
"384","384","150"
"53","53","227"
"54","54","17"
"55","55","17"
"56","56","17"
"55","55","115"
"58","58","17"
"59","59","17"
"60","60","17"
"61","61","17"
"62","62","17"
"63","63","103"
"62","62","115"
"65","65","115"
"66","66","17"
"67","67","17"
"68","68","106"
"69","69","224"
"70","70","189"
"71","71","106"
"72","72","189"
"73","73","19"
"74","74","20"
"75","75","20"
"76","76","20"
"263","263","74"
"395","395","150"
"79","79","21"
"80","80","22"
"81","81","22"
"82","82","22"
"83","83","23"
"84","84","24"
"86","86","58"
"87","87","58"
"88","88","59"
"89","89","60"
"90","90","61"
"91","91","58"
"92","92","58"
"93","93","24"
"395","395","101"
"95","95","4"
"96","96","101"
"97","97","4"
"98","98","2"
"99","99","61"
"100","100","61"
"101","101","61"
"102","102","63"
"103","103","63"
"104","104","64"
"105","105","64"
"106","106","64"
"107","107","64"
"108","108","64"
"109","109","64"
"110","110","64"
"111","111","64"
"112","112","24"
"113","113","24"
"114","114","24"
"115","115","24"
"116","116","24"
"108","108","97"
"106","106","97"
"119","119","65"
"120","120","61"
"121","121","61"
"122","122","97"
"123","123","60"
"124","124","97"
"125","125","97"
"126","126","60"
"127","127","60"
"128","128","97"
"129","129","60"
"130","130","60"
"131","131","59"
"132","132","59"
"133","133","59"
"136","136","63"
"137","137","63"
"138","138","69"
"139","139","67"
"140","140","67"
"141","141","67"
"142","142","67"
"143","143","67"
"144","144","67"
"366","366","66"
"104","104","97"
"147","147","67"
"148","148","63"
"149","149","63"
"150","150","99"
"151","151","66"
"152","152","99"
"153","153","66"
"450","450","72"
"498","498","180"
"421","421","153"
"157","157","72"
"161","161","72"
"162","162","72"
"163","163","72"
"164","164","72"
"165","165","100"
"394","394","150"
"168","168","14"
"169","169","72"
"460","460","145"
"171","171","74"
"172","172","74"
"173","173","74"
"175","175","82"
"176","176","82"
"194","194","68"
"194","194","91"
"177","177","77"
"178","178","102"
"98","98","75"
"377","377","155"
"179","179","74"
"170","170","74"
"394","394","101"
"180","180","74"
"181","181","77"
"182","182","102"
"183","183","116"
"185","185","102"
"185","185","114"
"186","186","77"
"187","187","77"
"188","188","111"
"186","186","75"
"189","189","75"
"189","189","110"
"265","265","5"
"190","190","77"
"191","191","77"
"192","192","77"
"178","178","116"
"194","194","75"
"216","216","103"
"196","196","105"
"196","196","102"
"196","196","75"
"212","212","231"
"216","216","107"
"216","216","190"
"377","377","123"
"377","377","112"
"196","196","68"
"210","210","75"
"202","202","89"
"203","203","113"
"204","204","68"
"204","204","75"
"205","205","102"
"205","205","111"
"206","206","75"
"267","267","5"
"200","200","190"
"207","207","103"
"208","208","78"
"266","266","5"
"209","209","115"
"210","210","110"
"199","199","229"
"211","211","68"
"211","211","231"
"211","211","216"
"212","212","230"
"212","212","105"
"264","264","5"
"213","213","230"
"266","266","85"
"214","214","103"
"257","257","68"
"215","215","107"
"216","216","102"
"216","216","111"
"262","262","190"
"217","217","78"
"9","9","101"
"175","175","75"
"94","94","4"
"220","220","100"
"156","156","83"
"166","166","84"
"154","154","84"
"345","345","141"
"221","221","100"
"257","257","90"
"222","222","100"
"436","436","158"
"223","223","83"
"257","257","75"
"224","224","100"
"255","255","88"
"225","225","100"
"10","10","5"
"52","52","5"
"51","51","101"
"53","53","109"
"77","77","21"
"78","78","21"
"460","460","106"
"460","460","104"
"228","228","85"
"229","229","85"
"230","230","85"
"204","204","102"
"348","348","83"
"450","450","100"
"232","232","86"
"349","349","86"
"253","253","80"
"233","233","100"
"330","330","80"
"352","352","5"
"358","358","148"
"355","355","4"
"342","342","8"
"344","344","143"
"329","329","21"
"358","358","146"
"356","356","17"
"357","357","4"
"357","357","173"
"204","204","111"
"331","331","20"
"353","353","6"
"499","499","180"
"248","248","100"
"249","249","100"
"440","440","100"
"499","499","106"
"438","438","100"
"258","258","68"
"258","258","89"
"259","259","68"
"259","259","75"
"341","341","7"
"261","261","90"
"258","258","75"
"367","367","99"
"145","145","19"
"141","141","97"
"151","151","98"
"151","151","99"
"180","180","101"
"186","186","103"
"186","186","102"
"226","226","108"
"264","264","106"
"264","264","105"
"264","264","101"
"194","194","107"
"194","194","102"
"253","253","101"
"374","374","85"
"269","269","67"
"269","269","97"
"269","269","168"
"228","228","108"
"228","228","101"
"228","228","104"
"266","266","106"
"266","266","105"
"266","266","176"
"266","266","101"
"220","220","72"
"98","98","109"
"98","98","105"
"98","98","102"
"189","189","102"
"189","189","114"
"255","255","112"
"170","170","101"
"171","171","101"
"263","263","101"
"172","172","101"
"179","179","101"
"257","257","103"
"257","257","105"
"257","257","102"
"258","258","103"
"258","258","105"
"258","258","102"
"259","259","103"
"259","259","105"
"259","259","102"
"208","208","213"
"200","200","102"
"200","200","111"
"262","262","102"
"207","207","105"
"207","207","190"
"207","207","102"
"207","207","113"
"214","214","190"
"214","214","102"
"214","214","111"
"209","209","190"
"209","209","102"
"209","209","111"
"215","215","190"
"215","215","102"
"215","215","111"
"217","217","236"
"217","217","103"
"217","217","190"
"199","199","105"
"199","199","190"
"199","199","102"
"213","213","190"
"213","213","102"
"211","211","105"
"211","211","190"
"261","261","105"
"261","261","102"
"202","202","109"
"202","202","102"
"202","202","113"
"177","177","102"
"193","193","77"
"193","193","102"
"193","193","113"
"178","178","77"
"181","181","116"
"181","181","102"
"181","181","114"
"182","182","113"
"182","182","77"
"188","188","102"
"188","188","116"
"188","188","77"
"183","183","102"
"183","183","114"
"183","183","77"
"184","184","77"
"184","184","102"
"184","184","114"
"185","185","116"
"185","185","77"
"175","175","105"
"175","175","102"
"175","175","113"
"186","186","114"
"187","187","116"
"187","187","102"
"187","187","113"
"190","190","116"
"190","190","102"
"190","190","114"
"191","191","116"
"191","191","102"
"191","191","114"
"192","192","116"
"192","192","102"
"192","192","113"
"270","270","117"
"270","270","105"
"270","270","101"
"31","31","14"
"30","30","14"
"29","29","119"
"29","29","112"
"30","30","119"
"254","254","119"
"221","221","83"
"13","13","138"
"14","14","245"
"14","14","123"
"15","15","138"
"15","15","121"
"19","19","121"
"19","19","112"
"18","18","121"
"18","18","112"
"17","17","121"
"17","17","112"
"16","16","122"
"16","16","121"
"16","16","112"
"6","6","125"
"5","5","215"
"54","54","115"
"26","26","123"
"26","26","112"
"28","28","192"
"27","27","124"
"27","27","192"
"20","20","219"
"20","20","132"
"74","74","125"
"24","24","125"
"24","24","219"
"25","25","125"
"25","25","219"
"21","21","125"
"68","68","189"
"71","71","189"
"72","72","132"
"22","22","133"
"22","22","131"
"22","22","108"
"23","23","131"
"23","23","108"
"227","227","108"
"226","226","104"
"145","145","98"
"145","145","97"
"153","153","98"
"153","153","99"
"150","150","98"
"150","150","66"
"152","152","98"
"152","152","66"
"73","73","98"
"73","73","97"
"73","73","99"
"9","9","132"
"203","203","102"
"203","203","75"
"205","205","75"
"205","205","68"
"206","206","102"
"206","206","111"
"189","189","77"
"212","212","190"
"194","194","111"
"165","165","72"
"396","396","150"
"393","393","150"
"272","272","136"
"272","272","133"
"272","272","131"
"272","272","108"
"285","285","131"
"275","275","143"
"275","275","137"
"273","273","136"
"347","347","11"
"273","273","131"
"276","276","143"
"276","276","137"
"276","276","108"
"277","277","138"
"277","277","112"
"278","278","155"
"278","278","112"
"278","278","140"
"30","30","112"
"254","254","112"
"13","13","112"
"15","15","112"
"147","147","139"
"145","145","99"
"49","49","132"
"343","343","10"
"275","275","108"
"281","281","141"
"281","281","142"
"281","281","108"
"282","282","141"
"282","282","133"
"223","223","100"
"232","232","100"
"249","249","72"
"250","250","100"
"155","155","100"
"222","222","83"
"224","224","83"
"225","225","83"
"233","233","86"
"248","248","86"
"252","252","100"
"283","283","143"
"283","283","137"
"286","286","131"
"284","284","143"
"286","286","196"
"285","285","133"
"287","287","145"
"287","287","144"
"514","514","198"
"289","289","145"
"290","290","148"
"290","290","97"
"291","291","148"
"291","291","97"
"292","292","148"
"292","292","97"
"293","293","148"
"293","293","97"
"294","294","148"
"294","294","146"
"295","295","148"
"295","295","97"
"296","296","148"
"296","296","97"
"297","297","148"
"297","297","97"
"298","298","67"
"299","299","66"
