entity_id,field_subfolder_value
480,video/films/0_comedy/kin-dza-dza
481,video/films/mult
482,"video/films/
Clark.Larry"
483,"video/films/
Clark.Larry"
484,"video/films/
Qatsi_(trilogy_Godfrey_ Reggio)"
485,"video/films/
Battelfield - Manchuria. The Forgotten Victory"
486,"video/films/
russia_the_missing_years"
487,"video/films/
born_in_ussr/14.avi
born_in_ussr/21_1.avi
born_in_ussr"
488,video/films/Leonid_Gayday
489,video/films/mult
490,video/films/.
491,video/films/0_comedy
492,"video/films/
airplane_ii_the_sequel.avi
0_comedy"
493,video/films/0_comedy
494,video/films/http://mycomp/video2/0_comedy
